Pelvis_extension,Pelvis_lateral_flexion_rotation,Pelvis_axial_rotation,LeftHip_flexion,LeftHip_adduction,LeftHip_external_rotation,LeftKnee_flexion,LeftKnee_adduction,LeftKnee_external_rotation,LeftAnkle_dorsiflexion,LeftAnkle_inversion,LeftAnkle_internal_rotation,RightHip_flexion,RightHip_adduction,RightHip_external_rotation,RightKnee_flexion,RightKnee_adduction,RightKnee_external_rotation,RightAnkle_dorsiflexion,RightAnkle_inversion,RightAnkle_internal_rotation,Thorax_extension,Thorax_lateral_flexion_rotation,Thorax_axial_rotation,LeftScapula_protraction,LeftScapula_medial_rotation,LeftScapula_posterior_tilt,LeftShoulder_flexion,LeftShoulder_abduction,LeftShoulder_external_rotation,LeftElbow_flexion,LeftElbow_abduction,LeftElbow_pronation,LeftWrist_flexion,LeftWrist_abduction,LeftWrist_pronation,Neck_flexion,Neck_left-ward_tilt,Neck_right-ward_rotation,RightScapula_protraction,RightScapula_medial_rotation,RightScapula_posterior_tilt,RightShoulder_flexion,RightShoulder_abduction,RightShoulder_external_rotation,RightElbow_flexion,RightElbow_abduction,RightElbow_pronation,RightWrist_flexion,RightWrist_abduction,RightWrist_pronation
-10.11365,1.383462,2.303843,15.36923,0.9698049,0.5507192,-19.79319,0.002411057,0,12.86426,-5.917703,-35.74202,13.53936,-1.457938,2.766545,-15.1568,-0.000860604,0.02797646,11.25388,-6.808572,-10.09592,-2.71231,-0.9380582,-0.6954879,-17.3472,4.982179,11.21819,1.484113,16.77613,3.005577,82.2709,-31.51887,12.49588,-2.355262,-43.6382,3.77735,-5.470455,4.356759,0.9439828,20.08126,1.851951,-3.951064,10.14532,2.573746,5.285132,72.34792,-42.25856,21.3914,21.10287,-14.92295,34.61704
-10.10303,1.376652,2.261832,15.36446,0.9718471,0.5517841,-19.79024,0.002404227,0,12.84492,-5.929164,-35.80957,13.5374,-1.462214,2.790427,-15.18199,-0.000935736,0,11.28736,-6.813851,-10.07964,-2.693554,-0.9598055,-0.7238871,-17.32793,4.981277,11.23782,1.459381,16.77021,3.020317,82.23515,-31.54976,12.48827,-2.349187,-43.63565,3.744393,-5.525099,4.340244,0.9213235,20.09458,1.849991,-3.971629,10.09687,2.586491,5.301169,72.36495,-42.26421,21.38675,21.05624,-14.92491,34.60204
-10.09035,1.371379,2.216202,15.35951,0.9737596,0.5570779,-19.79157,0.002411057,0,12.82866,-5.945536,-35.88609,13.53609,-1.465335,2.813343,-15.21409,-0.000956227,0,11.32458,-6.822539,-10.05909,-2.677884,-0.9858217,-0.7527748,-17.31149,4.980745,11.2561,1.44442,16.7537,3.025992,82.17924,-31.56879,12.46681,-2.426,-43.5967,3.660302,-5.587986,4.31976,0.9059024,20.10755,1.848208,-3.987278,10.07218,2.624057,5.308444,72.3436,-42.27905,21.39786,20.97512,-14.939,34.53684
-10.08296,1.368722,2.192585,15.35597,0.9762458,0.5671728,-19.79296,0.002424717,0,12.82081,-5.953985,-35.93353,13.53441,-1.467746,2.819737,-15.23102,-0.001010868,0,11.34397,-6.825354,-10.04293,-2.673568,-1.000889,-0.7679582,-17.30859,4.978846,11.26056,1.433404,16.73935,3.018766,82.15572,-31.5695,12.46165,-2.447526,-43.59198,3.630977,-5.619776,4.310519,0.899399,20.11124,1.849048,-3.991548,10.06701,2.645675,5.300691,72.3261,-42.26645,21.39105,20.97756,-14.94561,34.50162
-10.06863,1.364371,2.144754,15.3539,0.9796882,0.5885065,-19.79737,0.002424717,0,12.80548,-5.966396,-36.02651,13.53374,-1.471742,2.830891,-15.2625,-0.00107234,0,11.376,-6.829329,-10.0097,-2.664768,-1.026407,-0.8035691,-17.31237,4.974222,11.26771,1.403327,16.71032,2.981589,82.12755,-31.54711,12.43635,-2.45798,-43.5972,3.593522,-5.688581,4.285199,0.8948184,20.10578,1.850893,-4.000516,10.04042,2.685549,5.28126,72.33054,-42.22544,21.38596,20.98366,-14.95676,34.46719
0.5685511,-7.274882,62.16818,12.96249,-3.707195,8.990251,-19.96468,0.000997208,0,12.51829,-11.5612,-27.55619,16.02098,3.163853,10.63386,-26.60112,-0.0501814,0.2093567,15.97809,-4.78174,-15.48402,1.426973,1.5374,66.93158,-12.9208,2.110098,16.09114,-14.99243,6.713145,-2.989376,77.58553,-24.23265,4.924895,10.13962,-44.11363,-5.983664,-0.4849715,1.342576,-0.9048218,27.84653,-0.160127,-4.058158,-8.968611,7.825788,-3.447244,77.18395,-30.03778,12.6656,-13.33536,-45.53464,-12.98796
0.8913127,-7.29217,62.46815,13.73505,-3.545565,10.34537,-21.93422,0.000566906,0,12.93964,-12.72424,-28.46302,16.87789,3.524671,9.746791,-28.52851,-0.0548874,0.2130625,16.53181,-5.519653,-15.28251,1.747309,1.646957,67.29433,-12.93856,2.084396,16.1816,-15.10678,6.72024,-2.997627,77.57022,-24.15272,4.903727,9.461448,-43.99458,-6.85495,-0.9464671,1.388755,-0.7096917,27.80026,-0.1918873,-4.258782,-9.123501,7.917776,-3.768256,77.29738,-29.93437,12.61421,-14.24003,-46.00084,-13.36261
1.038352,-7.317257,62.67445,13.96263,-3.293517,11.86443,-22.67407,3.42E-05,0,12.85478,-13.33034,-29.78295,17.24715,3.701321,9.405712,-29.35737,-0.0545254,0.2074791,16.68403,-5.874769,-15.29274,1.933202,1.727,67.51993,-12.97269,2.09794,16.24481,-15.21214,6.734525,-2.941947,77.58684,-24.17026,4.933163,9.000101,-43.94873,-7.293097,-1.292709,1.347009,-0.5392296,27.74017,-0.2308058,-4.340004,-9.204129,7.966295,-3.904826,77.31791,-29.92051,12.57639,-14.59606,-46.19304,-13.48889
1.294373,-7.347214,63.16398,14.4201,-2.502513,15.6903,-24.35,-0.001748528,0,12.49056,-14.66782,-33.19292,18.11275,4.099739,8.971239,-31.28896,-0.04931397,0.1735894,16.94576,-6.636403,-15.61332,2.305966,1.8782,68.03538,-13.12779,2.213282,16.39026,-15.43674,6.747443,-2.772394,77.6856,-24.29061,5.00496,8.560179,-43.88412,-7.769177,-1.854352,1.234898,-0.08622923,27.52768,-0.3531003,-4.438488,-9.314939,8.059441,-4.08821,77.32393,-29.98476,12.49405,-14.97654,-46.46778,-13.5366
1.60291,-7.443192,63.7635,14.96754,-2.253286,16.96131,-25.83195,-0.00290283,0,12.03133,-15.78074,-33.98001,19.12472,4.658934,8.804352,-33.36895,-0.0340963,0.1101434,17.09133,-7.356537,-16.34095,2.618456,1.974334,68.58735,-13.4428,2.434566,16.54816,-15.70292,6.67453,-2.708115,77.9231,-24.35159,5.021842,7.918891,-43.73656,-8.347273,-2.153314,0.9577633,0.6068404,27.16686,-0.5580264,-4.461069,-9.339888,8.133929,-4.152304,77.35759,-30.11006,12.38454,-15.67935,-46.78657,-13.73497
